"Tenid","CondType","CondNo","Seq","CondText","CategoryId"
"M38/397","Condition","11","14","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the document titled:
* ""Notice of Intent - Wallaby Dewatering Project"" dated 24 July 2000 (NOI-3397) and retained on Department of Minerals and Energy File No. 4239-00
* ""Notice of Intent for the Wallaby Mine"" dated 21 August 2000 and technically certified by Mr Brian Bell; and
* ""Wallaby Environmental Review, Volume I and II"" dated May 2000 and both retained on Department of Minerals and Energy File No. 4292/00.
* (Reg Id:34960) "" Mine Closure Plan Granny Smith Gold Mine Barrick Australia Pacific Ltd Mt Margaret Gold Field (38) Lease L38/48,50/51,58,62,69,80,87,88,106,144,145,146, M38/18,161,162,167,191,205,253,287,288,361,380,389,397,440,483,525,535,690,691,692,725 Version 2"" dated 17 September 2012 signed by Julie Shuttleworth- General Manager, and retained on Department of Mines and Petroleum file no. EARS- MP-34960;
* (MP Reg ID 55005) ""GSM Mining Company Pty Ltd (Granny Smith) Mining Proposal: Proposal to Construct a Gas Fired Reciprocating Engine Power Station with Connection to the Eastern Goldfields Gas Pipeline Tenements: M38/397, M38/440 and L38/144"" dated 12 June 2015 signed by Jeff Yates and retained on Department of Mines and Petroleum File No. EARS-MP-55029;
* (MP Reg ID 56014) ""Mining Proposal Addendum; Addendum to Approved LNG Power Station Mining Proposal (Reg ID 55005), detailing an Additional Construction Buffer Zone Area"" dated 12 August 2015 signed by Jeffrey Yates and retained on Department of Mines and Petroleum File No. EARS-MP-56014;
* (MP Reg ID 56065) ""Addendum to Approved LNG Power Station Mining Proposal (Reg ID 55005), Detailing Additional Clearing for Main Gas Supply Pipeline"" dated 21 August 2015 signed by Mr Jeffrey Yates and retained on Department of Mines and Petroleum File No. EARS-MP-56065 as Doc ID 3771175;
* (MCP Reg ID 54301) ""Mine Closure Plan Granny Smith Mine Gold Fields Australia Mt Margaret Gold Field (38) Lease L38/48, 50, 51, 58, 62, 69, 80, 87, 88, 106, 109, 144, 145, 146, M38/18, 161, 162, 167, 191, 205, 253, 287, 288, 361, 380, 389, 397, 440, 483, 525, 535, 690, 691, 392, 725"" dated 20 March 2015 signed by Paul Miskell and retained on Department of Mines and Petroleum File No. EARS-MCP-54301;
* (MP Reg ID: 70897) ""Reg ID 70897 - MP - Proposal to Clear Additional Infrastructure (Rev 2)"" dated 8 January 2017 signed by Andrew Bywater and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-70897 as Doc ID 5476373;
* (MP Reg ID 79028) ""Granny Smith Gold Mine – Mining Proposal Amendment Reg ID 70897 – Powerline From GSM Gas Power Station to Wallaby Underground"" dated 14 March 2019 signed by Jeffery Yates, Coordinator: Sustainable Development, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-79028 as Doc ID 6393963;
* (MP Reg ID 79025) ""Granny Smith Gold Mine. Mining Proposal: Solar Farm Addition to GSM Gas Power Station"" dated 13 March 2019 signed by Jeffery Yates, Co-ordinator: Sustainable Development, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-79025 as Doc ID 6393940;
* (MP Reg ID 81077) ""Mining Proposal Amendment: Proposal to extend the Power Station Generator Area Revision B"" dated 1 August 2019 signed by Jeffrey Yates, Coordinator Sustainable Development, and retained on Department of Mines, Industry Regulation and Safety File No.EARS-MP-81077 as Doc ID6744504
Where a difference exists between the above documents and the following conditions, then the following conditions shall prevail.",0
"M77/581","Condition","14","19","All rubbish and scrap is to be progressively disposed of in a suitable manner.",0
"E70/5276","Endorsement","2","7","The land the subject of this Licence affects a Rare Flora sites (including Rare Flora Sites 91005) declared under the Wildlife Conservation Act 1950. The Licensee is advised to contact the Department of Biodiversity Conservation and Attractions (DBCA) via email address flora.data@dbca.wa.gov.au (with ID numbers) to receive the population details and information on the management of Declared Rare Flora (or Priority Listed Flora) present within the tenement area.",0
"L27/70","Condition","5","5","The road is to be clearly signposted as a private road and the signposting is to be regularly maintained at the licence holder's expense.",0
"L38/305","Condition","5","5","The holder shall maintain the road from time to time as shall be required to ensure that it is safe for the purpose that it is constructed.",0
"P47/1854","Endorsement","3","8","The grant of this licence does not authorise mining to be carried out on any portion of the land below 50 metres from the surface and the licensee is only authorised to prospect for gold.",0
"M47/272","Condition","15","21","Any alteration or expansion of operations within the lease boundaries beyond that outlined in the above document(s) not commencing until a plan of operations and a program to safeguard the environment are submitted to the State Mining Engineer for his assessment and until his written approval to proceed has been obtained.",0
"E70/3952","Condition","5","5","No mining within 30 metres of either side and to a depth of 15 metres of the Rail Corridor Land RCL/34 Katanning to Nyabing and Unnumbered Land Act Reserve 30 (Nyabing) as shown in TENGRAPH without the prior written approval of the Minister responsible for the Mining Act 1978.",0
"G52/110","Endorsement","6","29","This lease is granted in accordance with proposals dated September 1998 as varied by the addendum to that document dated 17 March 1999 and approved of by the Minister for Resources Development on 19 March 1999 under the provisions of Clause 20(3) of the Iron Ore (Mt Newman) Agreement Act 1964.",0
"L15/235","Condition","7","8","On the completion of the life of mining operations in connection with this licence the holder shall:
* remove all installations constructed pursuant to this licence; and
* on such areas cleared of natural growth by the holder or any of its agents, the holder shall plant trees and/or shrubs and/or any other plant as shall conform to the general pattern and type of growth in the area and as directed by the Inspector and properly maintain same until the Inspector advises regrowth is self supporting;
unless the Warden orders or consents otherwise.",0
"L47/813","Endorsement","14","31","The taking of groundwater and the construction or altering of any well is prohibited without current licences for these activities issued by the Department of Water and Environmental Regulation (DWER), unless an exemption otherwise applies.",0
"M24/240","Condition","19","34","All topsoil being removed ahead of all mining operations from sites such as pit areas, waste disposal areas, ore stockpile areas, pipeline, haul roads and new access roads and being stockpiled for later respreading or immediately respread as rehabilitation progresses.",0
"M80/285","Condition","5","6","All waste material, rubbish, plastic sample bags, abandoned equipment and temporary buildings being removed from the mining tenement prior to or at the termination of exploration programme.",0
"M37/626","Condition","16","20","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the documents titled:
* ""McGraths Mining Operation Notice of Intent dated November 1999 (NOI 3227); and
* ""Hydrogeological Investigations McGrath Project Leonora Western Australia"" dated October 1999;
and retained on Department of Minerals and Energy File No. 2251/00;
* (MCP Reg ID 76906) ""Mine Closure Plan - Leonora Operations - J00330"" dated 31 October 2018 signed by Kous Kirsten, General Manager Leonora Operations and retained on Department of Mines and Petroleum File No. EARS-MCP-76906 as Doc ID 6120719
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"M27/92","Condition","8","10","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the document titled
* ""Notice of Intent, Golden Valley Joint Venture, Kanowna Belle Project"" dated December 1988 and retained on Department of Minerals and Energy File No. 250/89;
* ""Notice of Intent, Golden Valley Joint Venture, Kanowna Belle Project"" dated July 1992 and retained on Department of Minerals and Energy File No. 2172/92;
* ""Kanowna Belle, Definitive Feasibility Study, Site Investigation, Proposed Tailings Dam and Plant Site, dated 10 June 1992 and retained on Department of Minerals and Energy File No. 2172/92;
* ""Kanowna Belle Project, Tailings Dam Works Approval Application"" dated 14 October 1992 and retained on Department of Minerals and Energy File No. 2261/92;
* Letter titled ""Kanowna Belle Project Tailings Dam Site Selection"" from Minproc Engineers Pty Ltd, dated 27 October 1992 and retained on Department of Minerals and Energy File No. 2261/92;
* ""Kanowna Belle Gold Mines Appendment to Notice of Intent, Underground Mine- State 3A"" dated 14 December 1994 and retained on Minerals and Energy File No. 2162/94;
* Letter titled ""Kanowna Belle Underground Mine- Stage 3A-Notice of Intent"" dated 1 February 1995 and retained on Department of Minerals and Energy File No. 2162/94;
* ""Addendum to Notice of Intent- Open Pit Mine Stage 1"" dated February 1997 and retained on Department of Minerals and Energy File No.2026/97;
* ""Plant Enhancement Project Addendum to the Kanowna Belle Project Stage II CER"" dated 11 May 1998 and retained on Department of Minerals and Energy File No. 2154/98;
* ""Kanowna Belle Gold Mine Gravel Extraction on M27/92"" dated 28 October 1998 and signed by manager Environmental Safety & Health, Mr David Button and retained on Department of Minerals and Energy File No. 2154/98; and
* Appendment to Notice of Intent- Kanowna Belle Gold Mine-Lower Mine Development"", Technically Certified by Mr Brian Bell, and retained on Department of Minerals and Energy File No. 4074/00.
* ""Notice of Intent - Low Impact Mining Operation Scraping and Detecting on Mining Lease M27/92"" dated 27 March 2001 and signed by David Saggers, (NOI 3688) and retained on Department of Minerals and Energy File No. 2604/99.
* ""Notice of Intent - Low Impact mining Operation - Scraping and Detecting on Mining Leases 27/175 and 27/92"" dated 13 January 2003 by Mr Anton Day and Mr Michael Christie (NOI 4187) and retained on Department of Mineral and Petroleum Resources File No. 5406/02.
* ""Notice of Intent and Works Approval Application to Utilise Northwest Lead Pit as an Emergency Tailings Storage on Mining Lease 27/92 and Miscellaneous Licence 27/49"" and signed by Ms Lee- Ann Stewart (NOI 4170) and retained on Department of Mineral and Petroleum Resources File No. 4365/01.
* ""Notice of Intent - Low Impact Mining Operation for Scraping and Detecting (NOI 4273) on Mining Lease 27/92"" dated 5 May 2003 and signed by Mr Ken Perks and Mr Mike Christie and retained on Department of Industry and Resources File No. 4202/01.
* ""Notice of Intent - Low Impact Mining Operation - Dryblowing, Scraping and Detecting on Prospecting Licence 24/3644 and Mining Leases 27/37, 27/38, 27/92 and 27/123"" dated 30 May 2003 (NOI 4296) and signed by Mr Mathew Longworth and Mr John Harris and retained on Department of Industry and Resources File No. E2636/200301.
* ""Notice of Intent - Low Impact Mining Operation - Scraping and Detecting on Mining Leases 27/123, 27/37 and 27/92"" dated 11 July 2003 (NOI 4325) and signed by Mr Ian Barney and Mr John Harris and retained on Department of Industry and Resources File No. 5205/02.
* ""Letter of Intent for the Excavation of Test Pits on Mining Lease 27/92"" dated 17 September 2003 (NOI 4423) and signed by Ms Lee-anne Stewart and retained on Department of Industry and Resources file No. 4365/01.
* ""Notice of Intent - Low Impact Mining Operation - Scraping and Detecting on Mining Lease 27/92"" dated 12 January 2004 and signed by Mr David Saggers, Mr Robert Kirk and Mr John Harris and retained on Department of Industry and Resources File No. E0073/200401.
* ""Low Impact Mining - Notice of Intent"" dated 21 May 2004 and signed by Mr Anton Day (NOI 4660) and retained on Department of Industry and Resources File No. 5406/02.
* ""Notice of Intent and Works Approval Application for Raising of Existing Tailings Storage Facility to RL 10,270.6M ON Mining Lease 27/92 and Miscellaneous Licence 27/49"" (NOI 4684) dated May 2004, signed by Neil Lester, Processing Manager and retained on Department of Industry and Resources File No. E0121/200402.
* ""Notice of Intent - Low Impact Mining Operation - Scraping and Detecting on Mining Leases 27/37, 27/92 and 27/102"" dated 30 July 2004 and signed by Mr Anton Day and Mr John Harris on behalf of Mr Mike Christie (NOI 4758) and retained on Department of Industry and Resources File No. 5406/02.
* ""Letter of Intent - Extension to existing borrow pit on Mining Lease 27/92"" (NOI 4886) dated 17 December 2004, signed by Mr Mark Dawson and retained on Department of Industry and Resources File No. E0121/200402.
* Mining Proposal titled: ""Mining Proposal for Raising Existing Kanowna Belle Tailings Storage Facility M27/92, M27/37 and L27/49 (MP 5407)"" dated 7 July 2006 and signed by Mark Fisher - Registered Manager and retained on Department of Industry and Resources File No. E0121/200404
* Mining Proposal titled: ""Clearing of Vegetation on M27/92 and M27/103 (MP 5442)"" dated 8 August 2006 and signed by Mark Fisher and retained on Department of Industry and Resources File No. E0121/200406;
* Mining Proposal titled: ""Clearing of Vegetation for Construction of an Access Road on Mining Lease 27/92 (MP 5471)"" dated 28 August 2006 and signed by Mark Fisher, Registered Manager and retained on Department of Industry and Resources File No. E0121/200402
* Mining Proposal titled: ""Clearing of Vegetation for the Construction of a Security Fence on M27/92 and M27/103 (MP 5487)"" dated 12 September 2006 and signed by Mark Fisher and retained on Department of Industry and Resources File No. E0121/200406
* ""Kanowna Belle Hayl Road and Borrow Pit Clearing on Mining Leases 27/92 and 27/103"" (MP 5620) dated 1 February 2007, signed by Mark Fisher - Registered Manager and retained on Department of Industry and Resources File No. E0121/200406;
* (MP Reg ID 71009) ""Kanowna Belle Tailings Storage Facility 2 - Revised"" dated 16 February 2018 signed by Adrian Lally and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-71009 as Doc ID 5608404;
* (MP Reg ID 73405) ""Addendum to Reg ID 71009, Use of Northwest Leads Pit Water for Construction"" dated 12 April 2018 signed by Yvonne Hynes and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-73405 as Doc ID 5687332;
* (MCP Reg ID 66468) ""Kanowna Operations Mine Closure Plan"" dated 28 April 2017 signed by Jim Coxon, and retained on Department of Mines and Petroleum File No. EARS-MCP-66468 as Doc ID 4971160;
* (MP Reg ID 76643) ""Kanowna Belle HV Workshop Extension"" dated 17 October 2018 signed by Brendon McGillivray, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-76643 as Doc ID 6093537
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"L59/35","Condition","10","10","The licensee or transferee, as the case may be, shall within thirty(30) days of receiving written notification of:
* the grant of the lease/licence; or
* registration of a transfer introducing a new lessee/licensee.
advise, by certified mail, the holder of any underlying pastoral lease details of the grant or transfer.",0
"M70/1158","Condition","36","37","The lessee taking all reasonable measures to prevent or minimise the generation of dust from all materials handling operations, stockpiles, open areas and transport activities.",0
"M24/732","Condition","10","10","No interference with Geodetic Survey Station SSM - Kalgoorlie 236, Kalgoorlie 237 and Kalgoorlie 238 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"M59/16","Condition","33","47","A Mine Closure Plan is to be submitted in the Annual Environmental Reporting month specified in tenement conditions in the year specified below, unless otherwise directed by an Environmental Officer, DMP. The Mine Closure Plan is to be prepared in accordance with the ""Guidelines for Preparing Mine Closure Plans"" available on DMP's website:
* 2017",0
"P24/5003","Condition","7","7","No mining within 30 metres of either side and to a depth of 15 metres of the Rail Corridor Land 12 as shown in TENGRAPH without the prior written approval of the Minister responsible for the Mining Act 1978.",0
"P47/1670","Endorsement","12","22","Advice shall be sought from the DoW and the relevant service provider if proposing prospecting being carried out in an existing or designated future irrigation area, or within 50 metres of an irrigation channel, drain or waterway.",0
"L38/150","Condition","3","3","Any significant waterway (flowing or not), wetland or its fringing vegetation that may exist on site not being disturbed or removed without prior written approval from the Department of Water.",0
"L77/245","Endorsement","3","31","The Licensee's attention is drawn to the existence of a Licence to Muster Stray Cattle granted pursuant to section 91 of the Land Administration Act 1997 and which is shown designated as FNA/10413 in TENGRAPH.",0
"M25/351","Condition","8","8","The lessee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Environment Division, DMP for his assessment and written approval prior to commencing any developmental or productive mining or construction activity.",0
"M52/395","Condition","15","20","A Mine Closure Plan is to be submitted in the Annual Environmental Reporting month specified in tenement conditions in the year specified below, unless otherwise directed by the Executive Director Resource and Environmental Compliance Division, Department of Mines, Industry Regulation and Safety. The Mine Closure Plan is to be prepared in accordance with the Department's ""Guidelines for Preparing Mine Closure Plans"":
* 2020",0
"G52/219","Condition","13","16","The rights of access to and from this site at all reasonable times being available to authorised officers of the Water and Rivers Commission for inspection and/or water resource investigation purposes.",0
"G08/53","Condition","19","21","Prior to the cessation of operations the lessee notifying the SME and arranging an inspection as required.",0
"L25/41","Endorsement","3","38","The Licensee attention is drawn to the provisions of the:
* Waterways Conservation Act, 1976
* Rights in Water and Irrigation Act, 1914
* Metropolitan Water Supply, Sewerage and Drainage Act, 1909
* Country Areas Water Supply Act, 1947
* Water Agencies (Powers) Act 1984
* Water Resources Legislation Amendment Act 2007",0
"M45/333","Condition","36","46","An annual environmental report is to be submitted to the Executive Director, Resource and Environmental Compliance Division, Department of Mines, Industry Regulation and Safety, outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programs for the next 12 months. This report to be submitted each year in:
* May",0
"M45/887","Condition","18","27","The Lessee taking all reasonable measures to prevent or minimise the generation of dust from all materials handling operations, stockpiles, open areas and transport activities.",0
